iter	Passed	Remaining
0	2	1154
1	3	1005
2	5	989
3	7	1066
4	9	1074
5	11	1098
6	14	1128
7	15	1091
8	17	1065
9	19	1045
10	20	1026
11	22	1015
12	25	1054
13	27	1079
14	29	1067
15	31	1057
16	33	1057
17	34	1053
18	36	1041
19	38	1030
20	39	1016
21	41	1010
22	43	1009
23	45	1005
24	46	1004
25	48	999
26	50	999
27	52	990
28	53	981
29	55	982
30	56	972
31	58	965
32	60	958
33	61	955
34	63	947
35	64	938
36	65	930
37	67	928
38	69	926
39	71	928
40	73	931
41	75	932
42	77	931
43	79	930
44	81	928
45	82	922
46	83	916
47	85	908
48	86	900
49	87	893
50	88	885
51	90	888
52	92	887
53	94	882
54	95	877
55	96	870
56	97	864
57	99	861
58	101	858
59	102	854
60	104	852
61	105	848
62	107	846
63	108	843
64	110	841
65	112	839
66	113	834
67	115	832
68	116	829
69	118	827
70	119	825
71	121	821
72	122	818
73	123	814
74	125	809
75	126	805
76	127	801
77	129	799
78	131	798
79	132	796
80	134	793
81	135	789
82	136	787
83	138	785
84	140	787
85	142	787
86	144	785
87	145	781
88	147	782
89	149	779
90	150	777
91	152	774
92	153	773
93	155	772
94	157	771
95	159	769
96	161	770
97	162	768
98	164	765
99	165	762
100	167	760
101	168	757
102	170	755
103	171	752
104	172	749
105	174	746
106	175	742
107	177	740
108	178	738
109	179	736
110	181	733
111	182	729
112	183	726
113	184	722
114	187	726
115	190	727
116	191	725
117	193	726
118	195	725
119	197	723
120	198	721
121	200	719
122	201	716
123	203	714
124	204	712
125	206	710
126	207	708
127	209	706
128	210	704
129	212	702
130	213	699
131	215	697
132	216	696
133	219	697
134	221	696
135	222	694
136	224	692
137	225	690
138	227	688
139	228	686
140	230	684
141	231	682
142	233	681
143	235	681
144	237	679
145	238	676
146	240	674
147	241	672
148	242	669
149	244	667
150	245	664
151	246	662
152	248	660
153	249	658
154	251	656
155	252	654
156	253	651
157	255	649
158	256	646
159	258	645
160	259	644
161	261	642
162	262	640
163	264	638
164	265	636
165	267	635
166	269	635
167	271	633
168	273	631
169	274	629
170	276	628
171	277	626
172	279	624
173	280	622
174	282	621
175	283	619
176	285	617
177	286	614
178	288	613
179	289	610
180	290	608
181	291	606
182	293	604
183	294	602
184	296	600
185	298	599
186	300	599
187	301	597
188	303	595
189	304	593
190	305	591
191	307	588
192	308	586
193	309	584
194	311	582
195	312	580
196	313	578
197	316	579
198	319	579
199	321	579
200	323	578
201	325	576
202	326	574
203	328	573
204	330	572
205	331	570
206	333	568
207	334	566
208	335	564
209	337	561
210	338	559
211	339	557
212	341	556
213	343	554
214	345	553
215	347	552
216	348	551
217	350	549
218	352	548
219	354	547
220	355	545
221	358	545
222	359	543
223	362	543
224	363	541
225	365	539
226	366	538
227	368	536
228	370	535
229	371	533
230	373	531
231	374	529
232	376	528
233	378	527
234	380	526
235	382	525
236	383	523
237	385	521
238	386	519
239	388	517
240	389	515
241	390	513
242	392	511
243	393	510
244	395	508
245	397	506
246	399	506
247	400	504
248	402	502
249	403	500
250	404	498
251	406	496
252	407	494
253	409	493
254	411	491
255	412	490
256	414	488
257	415	486
258	416	484
259	418	482
260	419	480
261	420	478
262	422	477
263	425	476
264	426	475
265	427	473
266	429	470
267	430	469
268	432	467
269	433	465
270	434	463
271	437	463
272	439	462
273	441	460
274	443	459
275	444	457
276	445	455
277	447	453
278	449	452
279	450	450
280	451	448
281	453	446
282	454	444
283	456	443
284	457	441
285	459	439
286	460	438
287	462	437
288	464	435
289	466	434
290	467	432
291	469	430
292	470	429
293	472	427
294	474	426
295	475	424
296	477	422
297	478	421
298	480	419
299	482	418
300	483	416
301	485	414
302	486	412
303	488	411
304	490	409
305	492	408
306	493	406
307	495	405
308	496	403
309	498	401
310	499	400
311	501	398
312	503	397
313	505	395
314	506	394
315	508	392
316	509	390
317	511	389
318	512	387
319	514	385
320	515	383
321	516	382
322	518	380
323	520	379
324	522	378
325	524	376
326	526	374
327	527	373
328	530	372
329	532	371
330	534	369
331	536	368
332	538	366
333	539	365
334	541	363
335	543	362
336	545	360
337	547	359
338	550	358
339	552	357
340	554	356
341	556	354
342	558	353
343	560	351
344	561	350
345	564	348
346	566	347
347	568	346
348	571	345
349	572	343
350	574	341
351	576	340
352	577	338
353	579	337
354	582	336
355	585	335
356	587	334
357	589	332
358	590	330
359	592	329
360	594	327
361	595	325
362	599	325
363	601	323
364	603	322
365	604	320
366	606	318
367	607	317
368	609	315
369	611	313
370	613	312
371	615	310
372	617	309
373	619	308
374	622	306
375	624	305
376	625	303
377	627	302
378	630	301
379	632	299
380	634	298
381	636	296
382	637	294
383	639	293
384	641	291
385	643	289
386	644	288
387	645	286
388	647	284
389	649	283
390	651	281
391	653	279
392	654	278
393	655	276
394	657	274
395	658	272
396	660	271
397	662	269
398	664	268
399	666	266
400	667	264
401	668	262
402	670	261
403	671	259
404	673	257
405	675	256
406	677	254
407	679	253
408	681	251
409	683	250
410	685	248
411	686	246
412	688	245
413	691	243
414	693	242
415	695	240
416	697	239
417	699	237
418	700	235
419	701	233
420	703	232
421	705	230
422	706	228
423	707	227
424	709	225
425	711	223
426	713	222
427	715	220
428	716	218
429	718	217
430	719	215
431	720	213
432	722	211
433	726	210
434	732	210
435	735	209
436	739	208
437	741	206
438	743	205
439	746	203
440	748	201
441	750	200
442	752	198
443	754	197
444	756	195
445	758	193
446	766	193
447	770	192
448	772	190
449	775	189
450	777	187
451	780	186
452	781	184
453	783	182
454	786	181
455	789	180
456	794	179
457	800	178
458	803	176
459	807	175
460	809	173
461	811	172
462	814	170
463	817	169
464	819	167
465	824	166
466	826	164
467	828	162
468	830	161
469	832	159
470	835	157
471	837	156
472	839	154
473	840	152
474	843	150
475	845	149
476	848	147
477	850	145
478	853	144
479	855	142
480	858	140
481	864	139
482	867	138
483	872	136
484	874	135
485	876	133
486	878	131
487	880	129
488	882	128
489	884	126
490	885	124
491	887	122
492	888	120
493	890	118
494	891	117
495	893	115
496	895	113
497	896	111
498	898	109
499	899	107
500	901	106
501	903	104
502	904	102
503	905	100
504	907	98
505	909	97
506	911	95
507	912	93
508	914	91
509	916	89
510	917	88
511	919	86
512	921	84
513	922	82
514	924	80
515	926	79
516	928	77
517	930	75
518	932	73
519	933	71
520	935	70
521	937	68
522	938	66
523	939	64
524	940	62
525	942	60
526	943	59
527	945	57
528	946	55
529	950	53
530	951	51
531	953	50
532	954	48
533	956	46
534	957	44
535	959	42
536	960	41
537	961	39
538	964	37
539	967	35
540	969	34
541	971	32
542	972	30
543	974	28
544	976	26
545	977	25
546	979	23
547	981	21
548	983	19
549	985	17
550	987	16
551	989	14
552	991	12
553	992	10
554	994	8
555	996	7
556	998	5
557	1000	3
558	1001	1
559	1003	0
