iter	RMSE
0	318472.24
1	308796.1318
2	299339.0996
3	290721.2939
4	282440.5792
5	274692.6982
6	266793.9799
7	259870.1943
8	253088.9887
9	246580.2022
10	240586.3857
11	234737.9478
12	228887.0692
13	223315.8823
14	218045.3157
15	213161.1472
16	208612.2808
17	204171.6022
18	200219.0073
19	196405.1157
20	192745.5327
21	189077.9655
22	185236.7169
23	182228.3473
24	178692.9786
25	175592.4832
26	172397.1866
27	169536.7562
28	167140.2628
29	164808.89
30	162735.9031
31	160315.5836
32	157943.6296
33	156091.5156
34	153945.6036
35	152110.6163
36	150458.627
37	148743.9729
38	147226.2872
39	145980.3684
40	144191.8812
41	142934.3729
42	141610.2026
43	140127.3814
44	139088.3001
45	137575.0807
46	136436.6107
47	135399.2769
48	134392.2828
49	133490.7327
50	132418.7189
51	131500.9321
52	130732.873
53	129976.1568
54	129196.7378
55	128490.7748
56	127685.0306
57	126974.8898
58	126367.0426
59	125746.6556
60	125113.9247
61	124558.4501
62	123990.6294
63	123475.63
64	122922.0759
65	122439.0451
66	121977.3631
67	121444.0875
68	120981.0281
69	120587.412
70	120126.4767
71	119775.2742
72	119246.6063
73	118932.2972
74	118417.5221
75	118100.1827
76	117791.0856
77	117498.4914
78	117157.8386
79	116832.085
80	116537.5288
81	116113.5034
82	115452.0442
83	115082.8569
84	114617.4986
85	114328.2231
86	114059.82
87	113770.7004
88	113555.385
89	112996.2616
90	112558.3099
91	112057.3259
92	111730.2128
93	111470.2496
94	111257.553
95	110988.9054
96	110836.8876
97	110674.754
98	110372.8091
99	109837.0079
100	109611.8004
101	109388.7057
102	109071.5635
103	108826.6184
104	108593.5559
105	108382.5959
106	108189.3469
107	108036.2921
108	107841.409
109	107636.3663
110	107498.0484
111	107092.5418
112	106860.1468
113	106687.3534
114	106562.1075
115	106168.5795
116	105998.412
117	105853.1888
118	105692.3159
119	105575.3025
120	105400.6898
121	105253.2165
122	104818.8465
123	104635.6126
124	104455.7762
125	104275.5499
126	104051.9381
127	103923.8308
128	103668.29
129	103508.3122
130	103338.9988
131	103159.7809
132	102974.7188
133	102865.5152
134	102780.1531
135	102653.3553
136	102470.2211
137	102324.3497
138	102127.6662
139	101966.0203
140	101824.7638
141	101597.9373
142	101448.9122
143	101232.5483
144	101005.5659
145	100712.2118
146	100571.5072
147	100435.4164
148	100310.2948
149	100092.7926
150	99913.93869
151	99769.13315
152	99666.75844
153	99568.97163
154	99485.95024
155	99297.56837
156	99192.27108
157	99127.91265
158	99018.13272
159	98913.88938
160	98740.53315
161	98591.8128
162	98451.4972
163	98359.63424
164	98142.11642
165	98056.836
166	97936.67808
167	97745.00721
168	97634.51012
169	97519.47525
170	97375.31735
171	97254.77797
172	97088.4049
173	96891.44634
174	96811.95729
175	96721.52638
176	96604.16932
177	96466.20893
178	96382.47594
179	96270.95931
180	96134.57394
181	96048.50573
182	95962.40991
183	95893.89252
184	95804.49082
185	95727.74666
186	95636.35207
187	95506.8945
188	95368.1568
189	95268.63927
190	95195.36615
191	95156.63065
192	94895.58374
193	94794.58789
194	94683.55838
195	94562.80329
196	94447.77942
197	94373.90161
198	94240.74094
199	94170.85092
200	94052.20556
201	93944.18478
202	93745.86693
203	93632.82432
204	93577.27338
205	93464.34402
206	93348.92944
207	93290.53954
208	93013.37356
209	92883.82424
210	92780.60933
211	92656.95521
212	92551.23195
213	92472.99073
214	92349.32908
215	92255.20244
216	92158.99335
217	92029.9935
218	91856.57333
219	91767.68116
220	91624.70243
221	91533.74325
222	91437.10413
223	91188.22948
224	91098.21743
225	91020.39955
226	90874.68396
227	90740.6005
228	90678.18482
229	90574.9538
230	90501.99195
231	90422.79688
232	90233.6763
233	90174.00284
234	90078.95059
