iter	Accuracy	MultiClass
0	0.6458846154	0.9842759844
1	0.6543653846	0.9157798072
2	0.6595384615	0.8645307254
3	0.6652115385	0.8262683683
4	0.6660192308	0.8016921128
5	0.6721346154	0.7801736008
6	0.6731538462	0.7635226123
7	0.6757884615	0.7514410659
8	0.6764807692	0.7416180306
9	0.6755769231	0.734062772
10	0.6779615385	0.7279480597
11	0.6767884615	0.7229261756
12	0.6776346154	0.7185062106
13	0.6794423077	0.7153418788
14	0.6820576923	0.7120547869
15	0.6829615385	0.7093219362
16	0.6852115385	0.7064257903
17	0.6848461538	0.7034424991
18	0.6853269231	0.7018144219
19	0.6874423077	0.7000280616
20	0.6892884615	0.6989148381
21	0.6906153846	0.6974664307
22	0.6908461538	0.6957065801
23	0.6915769231	0.694920517
24	0.6936346154	0.6934031784
25	0.6946153846	0.6920010907
26	0.6956730769	0.6906138508
27	0.696	0.6902624693
28	0.6956923077	0.689733885
29	0.6967307692	0.6891079511
30	0.6970384615	0.6882644883
31	0.6975961538	0.6870067287
32	0.6980769231	0.6859229836
33	0.699	0.6847532583
34	0.7000192308	0.6842476626
35	0.7	0.6840295509
36	0.6996346154	0.6839637649
37	0.7005769231	0.6828818853
38	0.70125	0.6820293489
39	0.7014038462	0.6816720696
40	0.7015576923	0.6813227857
41	0.7026538462	0.6803632329
42	0.7035192308	0.6779989302
43	0.7054423077	0.6770420797
44	0.7059615385	0.6763004684
45	0.7058846154	0.6756115237
46	0.7060384615	0.6753162172
47	0.7064230769	0.6745493511
48	0.7068846154	0.673846195
49	0.7080961538	0.6729330443
50	0.7080961538	0.6724748595
51	0.7085192308	0.6719336312
52	0.7098846154	0.6708013769
53	0.71025	0.6694666507
54	0.71075	0.6682530295
55	0.7110384615	0.6674698771
56	0.7126730769	0.6663599334
57	0.7134038462	0.6655074499
58	0.7148846154	0.6641792234
59	0.7163461538	0.6631904939
60	0.71675	0.6625467374
61	0.7180769231	0.6607319687
62	0.71875	0.6599221529
63	0.7195192308	0.6590363573
64	0.7206923077	0.6578183499
65	0.7209423077	0.6571509256
66	0.7215192308	0.6560274116
67	0.7224038462	0.6548260856
68	0.7234615385	0.6535892937
69	0.7238846154	0.652783148
70	0.7251730769	0.6514548082
71	0.7262115385	0.6502883601
72	0.7268269231	0.6496167814
73	0.72725	0.648818863
74	0.7275961538	0.648007969
75	0.7279230769	0.6475409336
76	0.7290576923	0.6462897353
77	0.7296346154	0.6457659501
78	0.7299807692	0.6452160542
79	0.7301730769	0.6440914452
80	0.7304230769	0.6436234563
81	0.7308653846	0.6431078403
82	0.7310384615	0.6420077039
83	0.7320961538	0.6411977294
84	0.7323653846	0.6406354477
85	0.7327307692	0.6402188872
86	0.7331538462	0.639189774
87	0.7335192308	0.6379619327
88	0.7341346154	0.6369908275
89	0.7347115385	0.6360004661
90	0.7353076923	0.6345833469
91	0.7353653846	0.6338478974
92	0.7356730769	0.6328059202
93	0.7362884615	0.631628386
94	0.7372307692	0.6305219718
95	0.7376538462	0.6298336731
96	0.7380961538	0.6292493075
97	0.7384038462	0.6288339143
98	0.7387884615	0.6283367265
99	0.7393846154	0.6277315678
100	0.7403461538	0.6269203941
101	0.7413076923	0.62513268
102	0.7418461538	0.6240258909
103	0.7425192308	0.6229424178
104	0.74275	0.6226546161
105	0.7429615385	0.6219616619
106	0.7439423077	0.620083533
