iter	Passed	Remaining
0	156	78006
1	296	73740
2	512	84880
3	721	89503
4	883	87464
5	1003	82653
6	1119	78854
7	1237	76108
8	1354	73873
9	1473	72212
10	1581	70300
11	1697	69029
12	1814	67977
13	1924	66820
14	2039	65937
15	2147	64952
16	2255	64089
17	2371	63504
18	2481	62832
19	2604	62505
20	2704	61692
21	2816	61188
22	2952	61239
23	3183	63131
24	3307	62845
25	3438	62690
26	3571	62559
27	3680	62050
28	3801	61743
29	3918	61387
30	4026	60920
31	4134	60463
32	4245	60083
33	4373	59941
34	4535	60262
35	4685	60386
36	4734	59249
37	4863	59130
38	5057	59781
39	5265	60554
40	5440	60905
41	5574	60786
42	5692	60503
43	5814	60263
44	5931	59973
45	6032	59540
46	6155	59327
47	6301	59343
48	6462	59477
49	6639	59756
50	6802	59885
51	6953	59903
52	7069	59627
53	7176	59276
54	7285	58947
55	7402	58694
56	7557	58732
57	7671	58459
58	7786	58197
59	7922	58094
60	8036	57837
61	8177	57768
62	8314	57672
63	8437	57478
64	8555	57255
65	8676	57051
66	8787	56791
67	8921	56680
68	9081	56728
69	9204	56542
70	9341	56444
71	9458	56227
72	9628	56322
73	9750	56132
74	9872	55942
75	9997	55773
76	10200	56036
77	10357	56036
78	10498	55949
79	10638	55854
80	10780	55767
81	10915	55643
82	11055	55543
83	11204	55489
84	11327	55305
85	11453	55135
86	11599	55063
87	11717	54858
88	11875	54842
89	12015	54737
90	12150	54610
91	12271	54422
92	12402	54278
93	12553	54219
94	12706	54168
95	12871	54167
96	13022	54102
97	13159	53981
98	13307	53903
99	13445	53780
100	13587	53678
101	13735	53594
102	13873	53474
103	14016	53371
104	14175	53325
105	14324	53243
106	14468	53139
107	14611	53035
108	14778	53013
109	14942	52979
110	15094	52897
111	15247	52822
112	15390	52709
113	15537	52608
114	15714	52608
115	15856	52490
116	15998	52372
117	16128	52212
118	16275	52108
119	16400	51936
120	16510	51715
121	16652	51596
122	16804	51505
123	16956	51415
